S_N,Farm_Code,Species,Animal_code,Breed,Gender,gender_cat_codes,Age_years,age_years_cat,age_year_cat_codes,Parity,medain_parity,median_parity_codes,rural_municipality,Strata,Herd_size,herd_size_cat,herd_size_cat_codes,Deworming,Vaccination_FMD,Vaccination_ppr,Vaccination_Brucella,animal_origin,Grazing_system,Common_grazing_Herds,History_of_abortion,latest_abortion_at_which_parity,Cases_of_repeated_abortions,Frequency_of_abortion seen,"Month_of_abortion(1,2mth=initial stage,3,4,5mth=Final Stage)",Repeat_breeding,Breeding_Practice,Problem_of_anestrous,Water_Facility,Quarantine_Facility,Other_animals,Specify_others,Contact_between_mother&child,Animals_contact_wd_othersanimals,interval_of_Farmcleanliness,Use_of_disinfectant,Excreta_use,Allow_Visitors,Use_of_lime_atentrance,Separate_boots_forvisitors,Owners_knowledge_about_Brucella,RBPT_final,ELISA_final
4,1,Sheep,1_d,Lampuchhre,male,1,2,above_median,1,,,,Siddharthanagar,12,12,equal_or_below_median,0,yes,No,yes,not done,Other nearbyherds,yes,No,,NA,NA,NA,NA,,Natural Insemination,,Tap,No,yes,"Cattle,pig,buffalo,poultry",Yes,Yes,Weekly,yes,Farm manure,Yes,No,No,No,Negative,Negative
5,,Sheep,1_e,Baruwal,male,1,2.5,above_median,1,,,,Siddharthanagar,12,12,equal_or_below_median,0,yes,No,yes,not done,Other nearbyherds,yes,Yes,,NA,NA,NA,NA,,Natural Insemination,,Tap,No,yes,"Cattle,pig,buffalo,poultry",Yes,Yes,Weekly,yes,Farm manure,Yes,No,No,No,Negative,Negative
6,,Sheep,1_f,Baruwal,female,0,1,equal_or_below_median,0,0,equal_or_below_median,0,Siddharthanagar,12,12,equal_or_below_median,0,yes,No,yes,not done,Other nearbyherds,yes,Yes,no,no any history, no any history,not seen,no any History,No,Natural Insemination,Yes,Tap,No,yes,"Cattle,pig,buffalo,poultry",Yes,Yes,Weekly,yes,Farm manure,Yes,No,No,No,Negative,Negative
98,22,Sheep,22_a,Lampuchhre,female,0,4,above_median,1,3,above_median,1,Kotahimai,11,100,equal_or_below_median,0,no,No,no,not done,Homebred,yes,Yes,no,no any history, no any history,not seen,no any History,Yes,Natural Insemination,No,Ponds,No,No,NA,Yes,Yes,Weekly,No,No use,Yes,No,No,No,Negative,Negative
99,,Sheep,22_b,Lampuchhre,female,0,1.5,equal_or_below_median,0,1,equal_or_below_median,0,Kotahimai,11,100,equal_or_below_median,0,no,No,no,not done,Homebred,yes,Yes,yes,First,no,Once,Final stage,No,Natural Insemination,No,Ponds,No,No,NA,Yes,Yes,Weekly,No,No use,Yes,No,No,No,Negative,Negative
100,,Sheep,22_c,Lampuchhre,female,0,0.3,equal_or_below_median,0,0,equal_or_below_median,0,Kotahimai,11,100,equal_or_below_median,0,no,No,no,not done,Homebred,yes,Yes,no,no any history, no any history,not seen,no any History,No,Natural Insemination,No,Ponds,No,No,NA,Yes,Yes,Weekly,No,No use,Yes,No,No,No,Negative,Negative
101,,Sheep,22_d,Lampuchhre,female,0,0.2,equal_or_below_median,0,0,equal_or_below_median,0,Kotahimai,11,100,equal_or_below_median,0,no,No,no,not done,Homebred,yes,Yes,no,no any history, no any history,not seen,no any History,No,Natural Insemination,No,Ponds,No,No,NA,Yes,Yes,Weekly,No,No use,Yes,No,No,No,Negative,Negative
102,23,Sheep,23_a,Lampuchhre,male,1,2,above_median,1,,,,Lumbini Sanskritik,8,120,above_median,1,no,Yes,yes,not done,Homebred,yes,Yes,,NA,NA,NA,NA,,Natural Insemination,NA,Ponds,No,No,NA,Yes,Yes,Weekly,No,No use,Yes,No,No,No,Positive,Positive
103,,Sheep,23_b,Lampuchhre,female,0,3,above_median,1,3,above_median,1,Lumbini Sanskritik,8,120,above_median,1,yes,Yes,yes,not done,Other nearbyherds,yes,Yes,yes,second,no,Once,Final stage,No,Natural Insemination,No,Ponds,No,No,NA,Yes,Yes,Weekly,No,No use,Yes,No,No,No,Positive,Positive
104,,Sheep,23_c,Lampuchhre,female,0,2,above_median,1,2,above_median,1,Lumbini Sanskritik,8,120,above_median,1,yes,Yes,yes,not done,Homebred,yes,Yes,no,no any history, no any history,not seen,no any History,Yes,Natural Insemination,No,Ponds,No,No,NA,Yes,Yes,Weekly,No,No use,Yes,No,No,No,Negative,Negative
